Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA
Omgång 1,2019-04-13,Kungsbacka KUN,Kopparbergs / Göteborg KOP,0-3,-55,24,14,43,69,19,8,22,33,11
Omgång 1,2019-04-14,Eskilstuna ESK,Rosengård FCR,0-1,15,34,33,50,18,16,19,15,6,5
Omgång 1,2019-04-14,Kristianstad KRI,LB07 LIM,5-1,9,-28,38,16,29,44,24,6,9,26
Omgång 1,2019-04-14,Piteå PIT,Djurgården DIF,1-0,6,-23,27,24,21,47,15,10,10,23
Omgång 1,2019-04-14,Örebro ÖRE,Vittsjö VIT,1-0,0,18,27,31,27,13,9,14,12,9
Omgång 1,2019-04-17,Linköping LFC,Växjö VÄX,5-0,15,-15,34,24,19,39,21,8,4,26
Omgång 2,2019-04-21,Kopparbergs / Göteborg KOP,Eskilstuna ESK,1-1,24,15,43,33,19,18,21,14,8,12
Omgång 2,2019-04-21,Rosengård FCR,Kristianstad KRI,5-1,34,9,50,38,16,29,35,14,11,20
Omgång 2,2019-04-22,Djurgården DIF,Linköping LFC,2-3,-23,15,24,34,47,19,14,13,24,15
Omgång 2,2019-04-22,LB07 LIM,Örebro ÖRE,1-3,-28,0,16,27,44,27,10,18,18,15
Omgång 2,2019-04-22,Vittsjö VIT,Kungsbacka KUN,3-0,18,-55,31,14,13,69,17,6,4,36
Omgång 2,2019-04-22,Växjö VÄX,Piteå PIT,0-0,-15,6,24,27,39,21,16,12,13,11
Omgång 3,2019-04-27,Örebro ÖRE,Rosengård FCR,0-4,0,34,27,50,27,16,9,15,12,5
Omgång 3,2019-04-27,Kungsbacka KUN,Djurgården DIF,1-2,-55,-23,14,24,69,47,8,10,33,23
Omgång 3,2019-04-28,Vittsjö VIT,Linköping LFC,2-0,18,15,31,34,13,19,17,13,4,15
Omgång 3,2019-04-28,Kristianstad KRI,Kopparbergs / Göteborg KOP,2-2,9,24,38,43,29,19,24,22,9,11
Omgång 3,2019-04-28,Eskilstuna ESK,Växjö VÄX,0-1,15,-15,33,24,18,39,19,8,6,26
Omgång 4,2019-05-02,Växjö VÄX,Vittsjö VIT,1-1,-15,18,24,31,39,13,16,14,13,9
