Round,Date,Home,Away,Score
Omgång 1,2019-04-13,Kungsbacka KUN,Kopparbergs / Göteborg KOP,0-3
Omgång 1,2019-04-14,Eskilstuna ESK,Rosengård FCR,0-1
Omgång 1,2019-04-14,Kristianstad KRI,LB07 LIM,5-1
Omgång 1,2019-04-14,Piteå PIT,Djurgården DIF,1-0
Omgång 1,2019-04-14,Örebro ÖRE,Vittsjö VIT,1-0
Omgång 1,2019-04-17,Linköping LFC,Växjö VÄX,5-0
Omgång 2,2019-04-21,Kopparbergs / Göteborg KOP,Eskilstuna ESK,1-1
Omgång 2,2019-04-21,Rosengård FCR,Kristianstad KRI,5-1
Omgång 2,2019-04-22,Växjö VÄX,Piteå PIT,0-0
Omgång 2,2019-04-22,Vittsjö VIT,Kungsbacka KUN,3-0
Omgång 2,2019-04-22,LB07 LIM,Örebro ÖRE,1-3
Omgång 2,2019-04-22,Djurgården DIF,Linköping LFC,2-3
Omgång 3,2019-04-27,Örebro ÖRE,Rosengård FCR,0-4
Omgång 3,2019-04-27,Kungsbacka KUN,Djurgården DIF,1-2
Omgång 3,2019-04-28,Vittsjö VIT,Linköping LFC,2-0
Omgång 3,2019-04-28,Kristianstad KRI,Kopparbergs / Göteborg KOP,2-2
Omgång 3,2019-04-28,Eskilstuna ESK,Växjö VÄX,0-1
Omgång 4,2019-05-02,Växjö VÄX,Vittsjö VIT,1-1
Omgång 4,2019-05-05,LB07 LIM,Eskilstuna ESK,0-1
Omgång 4,2019-05-05,Kungsbacka KUN,Piteå PIT,1-5
Omgång 4,2019-05-05,Djurgården DIF,Kristianstad KRI,0-2
Omgång 4,2019-05-05,Rosengård FCR,Kopparbergs / Göteborg KOP,2-2
Omgång 4,2019-05-06,Linköping LFC,Örebro ÖRE,4-1
Omgång 5,2019-05-11,Vittsjö VIT,Eskilstuna ESK,1-0
Omgång 5,2019-05-11,Örebro ÖRE,Växjö VÄX,1-0
Omgång 5,2019-05-11,Linköping LFC,Kungsbacka KUN,2-0
Omgång 5,2019-05-11,Kopparbergs / Göteborg KOP,Djurgården DIF,3-1
Omgång 5,2019-05-11,LB07 LIM,Rosengård FCR,3-2
Omgång 5,2019-05-12,Piteå PIT,Kristianstad KRI,2-1
Omgång 6,2019-05-15,Växjö VÄX,Kopparbergs / Göteborg KOP,0-2
Omgång 6,2019-05-15,Kungsbacka KUN,LB07 LIM,2-2
Omgång 6,2019-05-15,Kristianstad KRI,Linköping LFC,1-1
Omgång 6,2019-05-15,Djurgården DIF,Vittsjö VIT,1-3
Omgång 6,2019-05-15,Rosengård FCR,Piteå PIT,2-0
Omgång 6,2019-05-15,Eskilstuna ESK,Örebro ÖRE,0-0
Omgång 7,2019-05-19,Vittsjö VIT,Piteå PIT,0-0
Omgång 7,2019-05-19,Kopparbergs / Göteborg KOP,LB07 LIM,3-0
Omgång 7,2019-05-19,Kristianstad KRI,Eskilstuna ESK,3-0
Omgång 7,2019-05-19,Örebro ÖRE,Kungsbacka KUN,1-0
Omgång 7,2019-05-20,Djurgården DIF,Växjö VÄX,3-0
Omgång 7,2019-05-20,Linköping LFC,Rosengård FCR,0-0
Omgång 3,2019-05-23,Piteå PIT,LB07 LIM,2-1
Omgång 8,2019-07-20,LB07 LIM,Djurgården DIF,0-1
Omgång 8,2019-07-20,Kungsbacka KUN,Kristianstad KRI,0-5
Omgång 8,2019-07-21,Vittsjö VIT,Kopparbergs / Göteborg KOP,2-4
Omgång 8,2019-07-21,Piteå PIT,Örebro ÖRE,0-3
Omgång 8,2019-07-21,Rosengård FCR,Växjö VÄX,5-0
