,Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA,Round_,Home_,Away_,HomeScore,AwayScore
0,Omgång 1,2020-06-27,Umeå IK UME,Piteå PIT,2-3,-8,2,6,8,14,6,5,5,10,2,1,8,6,2,3
1,Omgång 1,2020-06-27,Linköping LFC,Växjö VÄX,3-0,5,-10,11,2,6,12,5,1,0,8,1,5,10,3,0
2,Omgång 1,2020-06-27,IK Uppsala UPP,Djurgården DIF,3-2,0,-3,8,8,8,11,6,2,5,6,1,2,0,3,2
3,Omgång 1,2020-06-27,Örebro ÖRE,Eskilstuna ESK,3-3,-4,1,7,11,11,10,4,5,4,5,1,11,1,3,3
4,Omgång 1,2020-06-27,Rosengård FCR,Vittsjö VIT,1-0,13,-6,15,6,2,12,8,2,2,6,1,7,9,1,0
5,Omgång 1,2020-06-28,Kopparbergs / Göteborg KOP,Kristianstad KRI,5-1,13,-3,15,12,2,15,11,10,1,13,1,3,4,5,1
6,Omgång 2,2020-07-04,Eskilstuna ESK,Kopparbergs / Göteborg KOP,1-1,1,13,11,15,10,2,6,4,5,1,2,1,3,1,1
7,Omgång 2,2020-07-04,Växjö VÄX,IK Uppsala UPP,1-1,-10,0,2,8,12,8,1,2,4,3,2,10,2,1,1
8,Omgång 2,2020-07-04,Kristianstad KRI,Rosengård FCR,0-1,-3,13,12,15,15,2,2,7,2,0,2,4,7,0,1
9,Omgång 2,2020-07-04,Djurgården DIF,Umeå IK UME,1-1,-3,-8,8,6,11,14,6,1,5,4,2,0,8,1,1
10,Omgång 2,2020-07-05,Vittsjö VIT,Linköping LFC,1-2,-6,5,6,11,12,6,4,6,6,6,2,9,5,1,2
11,Omgång 2,2020-07-05,Piteå PIT,Örebro ÖRE,1-1,2,-4,8,7,6,11,3,3,4,7,2,6,11,1,1
12,Omgång 3,2020-07-08,Umeå IK UME,Örebro ÖRE,0-2,-8,-4,6,7,14,11,5,3,10,7,3,8,11,0,2
13,Omgång 3,2020-07-08,Umeå IK UME,Örebro ÖRE,0-2,-8,-4,6,7,14,11,5,3,10,7,3,8,11,0,2
14,Omgång 3,2020-07-10,Rosengård FCR,Eskilstuna ESK,1-2,13,1,15,11,2,10,8,5,2,5,3,7,1,1,2
15,Omgång 3,2020-07-10,Kopparbergs / Göteborg KOP,Växjö VÄX,4-0,13,-10,15,2,2,12,11,1,1,8,3,3,10,4,0
16,Omgång 3,2020-07-10,Rosengård FCR,Eskilstuna ESK,1-2,13,1,15,11,2,10,8,5,2,5,3,7,1,1,2
17,Omgång 3,2020-07-10,Kopparbergs / Göteborg KOP,Växjö VÄX,4-0,13,-10,15,2,2,12,11,1,1,8,3,3,10,4,0
18,Omgång 3,2020-07-11,Vittsjö VIT,Kristianstad KRI,3-3,-6,-3,6,12,12,15,4,10,6,13,3,9,4,3,3
19,Omgång 3,2020-07-11,Linköping LFC,Djurgården DIF,1-0,5,-3,11,8,6,11,5,2,0,6,3,5,0,1,0
20,Omgång 3,2020-07-11,IK Uppsala UPP,Piteå PIT,0-1,0,2,8,8,8,6,6,5,5,2,3,2,6,0,1
21,Omgång 3,2020-07-11,Linköping LFC,Djurgården DIF,1-0,5,-3,11,8,6,11,5,2,0,6,3,5,0,1,0
22,Omgång 3,2020-07-11,IK Uppsala UPP,Piteå PIT,0-1,0,2,8,8,8,6,6,5,5,2,3,2,6,0,1
23,Omgång 3,2020-07-11,Vittsjö VIT,Kristianstad KRI,3-3,-6,-3,6,12,12,15,4,10,6,13,3,9,4,3,3
24,Omgång 4,2020-07-15,Djurgården DIF,Vittsjö VIT,2-1,-3,-6,8,6,11,12,6,2,5,6,4,0,9,2,1
25,Omgång 4,2020-07-15,Eskilstuna ESK,Kristianstad KRI,2-3,1,-3,11,12,10,15,6,10,5,13,4,1,4,2,3
26,Omgång 4,2020-07-15,IK Uppsala UPP,Umeå IK UME,3-0,0,-8,8,6,8,14,6,1,5,4,4,2,8,3,0
27,Omgång 4,2020-07-15,Växjö VÄX,Rosengård FCR,0-3,-10,13,2,15,12,2,1,7,4,0,4,10,7,0,3
28,Omgång 4,2020-07-15,Örebro ÖRE,Kopparbergs / Göteborg KOP,0-1,-4,13,7,15,11,2,4,4,4,1,4,11,3,0,1
29,Omgång 4,2020-07-15,Piteå PIT,Linköping LFC,2-2,2,5,8,11,6,6,3,6,4,6,4,6,5,2,2
30,Omgång 4,2020-07-15,Örebro ÖRE,Kopparbergs / Göteborg KOP,0-1,-4,13,7,15,11,2,4,4,4,1,4,11,3,0,1
31,Omgång 4,2020-07-15,Eskilstuna ESK,Kristianstad KRI,2-3,1,-3,11,12,10,15,6,10,5,13,4,1,4,2,3
32,Omgång 4,2020-07-15,IK Uppsala UPP,Umeå IK UME,3-0,0,-8,8,6,8,14,6,1,5,4,4,2,8,3,0
33,Omgång 4,2020-07-15,Växjö VÄX,Rosengård FCR,0-3,-10,13,2,15,12,2,1,7,4,0,4,10,7,0,3
