Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA
Omgång 1,2019-04-13,Kungsbacka KUN,Kopparbergs / Göteborg KOP,0-3,-51,23,13,41,64,18,7,22,28,11
Omgång 1,2019-04-14,Eskilstuna ESK,Rosengård FCR,0-1,10,34,28,49,18,15,14,15,6,5
Omgång 1,2019-04-14,Kristianstad KRI,LB07 LIM,5-1,14,-25,38,16,24,41,24,6,9,23
Omgång 1,2019-04-14,Piteå PIT,Djurgården DIF,1-0,6,-23,24,21,18,44,15,10,10,23
Omgång 1,2019-04-14,Örebro ÖRE,Vittsjö VIT,1-0,-4,18,22,30,26,12,9,13,12,8
Omgång 1,2019-04-17,Linköping LFC,Växjö VÄX,5-0,12,-14,31,23,19,37,18,7,4,24
Omgång 2,2019-04-21,Kopparbergs / Göteborg KOP,Eskilstuna ESK,1-1,23,10,41,28,18,18,19,14,7,12
Omgång 2,2019-04-21,Rosengård FCR,Kristianstad KRI,5-1,34,14,49,38,15,24,34,14,10,15
Omgång 2,2019-04-22,Djurgården DIF,Linköping LFC,2-3,-23,12,21,31,44,19,11,13,21,15
Omgång 2,2019-04-22,LB07 LIM,Örebro ÖRE,1-3,-25,-4,16,22,41,26,10,13,18,14
Omgång 2,2019-04-22,Vittsjö VIT,Kungsbacka KUN,3-0,18,-51,30,13,12,64,17,6,4,36
Omgång 2,2019-04-22,Växjö VÄX,Piteå PIT,0-0,-14,6,23,24,37,18,16,9,13,8
Omgång 3,2019-04-27,Örebro ÖRE,Rosengård FCR,0-4,-4,34,22,49,26,15,9,15,12,5
Omgång 3,2019-04-27,Kungsbacka KUN,Djurgården DIF,1-2,-51,-23,13,21,64,44,7,10,28,23
Omgång 3,2019-04-28,Vittsjö VIT,Linköping LFC,2-0,18,12,30,31,12,19,17,13,4,15
Omgång 3,2019-04-28,Kristianstad KRI,Kopparbergs / Göteborg KOP,2-2,14,23,38,41,24,18,24,22,9,11
Omgång 3,2019-04-28,Eskilstuna ESK,Växjö VÄX,0-1,10,-14,28,23,18,37,14,7,6,24
Omgång 4,2019-05-02,Växjö VÄX,Vittsjö VIT,1-1,-14,18,23,30,37,12,16,13,13,8
Omgång 4,2019-05-05,Rosengård FCR,Kopparbergs / Göteborg KOP,2-2,34,23,49,41,15,18,34,22,10,11
Omgång 4,2019-05-05,Djurgården DIF,Kristianstad KRI,0-2,-23,14,21,38,44,24,11,14,21,15
Omgång 4,2019-05-05,LB07 LIM,Eskilstuna ESK,0-1,-25,10,16,28,41,18,10,14,18,12
Omgång 4,2019-05-05,Kungsbacka KUN,Piteå PIT,1-5,-51,6,13,24,64,18,7,9,28,8
Omgång 4,2019-05-06,Linköping LFC,Örebro ÖRE,4-1,12,-4,31,22,19,26,18,13,4,14
Omgång 5,2019-05-11,Vittsjö VIT,Eskilstuna ESK,1-0,18,10,30,28,12,18,17,14,4,12
Omgång 5,2019-05-11,Örebro ÖRE,Växjö VÄX,1-0,-4,-14,22,23,26,37,9,7,12,24
Omgång 5,2019-05-11,Linköping LFC,Kungsbacka KUN,2-0,12,-51,31,13,19,64,18,6,4,36
Omgång 5,2019-05-11,Kopparbergs / Göteborg KOP,Djurgården DIF,3-1,23,-23,41,21,18,44,19,10,7,23
Omgång 5,2019-05-11,LB07 LIM,Rosengård FCR,3-2,-25,34,16,49,41,15,10,15,18,5
Omgång 5,2019-05-12,Piteå PIT,Kristianstad KRI,2-1,6,14,24,38,18,24,15,14,10,15
Omgång 6,2019-05-15,Växjö VÄX,Kopparbergs / Göteborg KOP,0-2,-14,23,23,41,37,18,16,22,13,11
Omgång 6,2019-05-15,Kungsbacka KUN,LB07 LIM,2-2,-51,-25,13,16,64,41,7,6,28,23
Omgång 6,2019-05-15,Kristianstad KRI,Linköping LFC,1-1,14,12,38,31,24,19,24,13,9,15
Omgång 6,2019-05-15,Djurgården DIF,Vittsjö VIT,1-3,-23,18,21,30,44,12,11,13,21,8
Omgång 6,2019-05-15,Rosengård FCR,Piteå PIT,2-0,34,6,49,24,15,18,34,9,10,8
Omgång 6,2019-05-15,Eskilstuna ESK,Örebro ÖRE,0-0,10,-4,28,22,18,26,14,13,6,14
Omgång 7,2019-05-19,Örebro ÖRE,Kungsbacka KUN,1-0,-4,-51,22,13,26,64,9,6,12,36
Omgång 7,2019-05-19,Kristianstad KRI,Eskilstuna ESK,3-0,14,10,38,28,24,18,24,14,9,12
Omgång 7,2019-05-19,Kopparbergs / Göteborg KOP,LB07 LIM,3-0,23,-25,41,16,18,41,19,6,7,23
Omgång 7,2019-05-19,Vittsjö VIT,Piteå PIT,0-0,18,6,30,24,12,18,17,9,4,8
